is_exam_week,parking_behavior,entry_hour,entry_minute,day_of_week_num,is_weekend,is_morning,rolling_avg_duration,historical_overnight_count,vehicle_type_Motorbike,usual_zone_Zone_B,usual_zone_Zone_C,usual_zone_Zone_D
0,Full_Day,6,35,5,1,1,485.4906,0.0,1,0,1,0
0,Full_Day,6,41,4,0,1,357.0,0.0,1,1,0,0
0,Full_Day,6,53,4,0,1,355.0,0.0,1,1,0,0
0,Full_Day,12,53,6,1,0,362.6666666666667,0.0,1,0,0,0
1,Early_Return,13,11,2,0,0,332.25,0.0,1,0,0,1
0,Long_Term,6,32,5,1,1,485.4906,0.0,1,1,0,0
0,Early_Return,13,31,5,1,0,3296.0,0.0,1,1,0,0
0,Long_Term,12,23,4,0,0,1690.5,0.0,1,1,0,0
0,Early_Return,6,50,6,1,1,1627.0,0.0,1,1,0,0
0,Full_Day,6,1,6,1,1,1247.25,0.0,1,1,0,0
0,Long_Term,13,9,0,0,0,1054.6,0.0,1,1,0,0
1,Early_Return,7,11,3,0,1,1170.2,0.0,1,0,1,0
1,Full_Day,12,47,3,0,0,1182.2,0.0,1,0,0,0
0,Full_Day,11,56,5,1,1,485.4906,0.0,1,0,0,0
0,Full_Day,12,54,6,1,0,487.0,0.0,1,1,0,0
0,Full_Day,6,27,1,0,1,446.0,0.0,1,0,0,0
0,Overnight,12,59,0,0,0,395.3333333333333,0.0,1,0,0,1
0,Full_Day,5,41,5,1,1,576.25,1.0,1,0,1,0
0,Full_Day,12,52,4,0,0,564.0,1.0,1,1,0,0
1,Overnight,7,11,1,0,1,534.4,1.0,1,0,0,0
0,Overnight,7,59,5,1,1,485.4906,2.0,1,1,0,0
0,Full_Day,7,32,6,1,1,1012.0,1.0,1,0,0,0
0,Early_Return,6,41,5,1,1,742.5,1.0,1,0,0,0
0,Early_Return,7,4,1,0,1,557.6666666666666,1.0,1,0,1,0
0,Early_Return,12,54,2,0,0,455.25,1.0,1,0,0,0
0,Early_Return,13,14,0,0,0,399.4,1.0,1,0,0,1
0,Early_Return,13,24,3,0,0,218.8,1.0,1,0,0,0
0,Full_Day,7,9,3,0,1,145.0,1.0,1,1,0,0
1,Early_Return,12,36,6,1,0,190.0,1.0,1,0,0,0
0,Full_Day,12,43,4,0,0,485.4906,1.0,1,0,0,0
0,Early_Return,12,23,6,1,0,419.0,0.0,0,0,0,0
0,Early_Return,6,11,4,0,1,273.0,0.0,1,1,0,0
0,Early_Return,6,53,3,0,1,212.66666666666666,0.0,1,0,1,0
0,Full_Day,13,6,3,0,0,185.25,0.0,1,1,0,0
0,Full_Day,7,47,5,1,1,249.4,0.0,1,0,0,0
1,Early_Return,12,55,6,1,0,255.0,0.0,1,0,1,0
0,Full_Day,12,3,6,1,0,485.4906,0.0,1,0,0,0
0,Early_Return,6,28,4,0,1,378.0,0.0,1,1,0,0
0,Full_Day,7,25,1,0,1,260.0,0.0,1,1,0,0
0,Full_Day,12,19,0,0,0,349.6666666666667,0.0,1,0,0,0
0,Full_Day,6,36,2,0,1,343.5,0.0,1,1,0,0
