duration_minutes,is_exam_week,entry_hour,entry_minute,day_of_week_num,is_weekend,is_morning,rolling_avg_duration,historical_overnight_count,vehicle_type_Motorbike,usual_zone_Zone_B,usual_zone_Zone_C,usual_zone_Zone_D
357,0,6,35,5,1,1,485.4906,0.0,1,0,1,0
353,0,6,41,4,0,1,357.0,0.0,1,1,0,0
378,0,6,53,4,0,1,355.0,0.0,1,1,0,0
241,0,12,53,6,1,0,362.6666666666667,0.0,1,0,0,0
134,1,13,11,2,0,0,332.25,0.0,1,0,0,1
3296,0,6,32,5,1,1,485.4906,0.0,1,1,0,0
85,0,13,31,5,1,0,3296.0,0.0,1,1,0,0
1500,0,12,23,4,0,0,1690.5,0.0,1,1,0,0
108,0,6,50,6,1,1,1627.0,0.0,1,1,0,0
284,0,6,1,6,1,1,1247.25,0.0,1,1,0,0
3874,0,13,9,0,0,0,1054.6,0.0,1,1,0,0
145,1,7,11,3,0,1,1170.2,0.0,1,0,1,0
422,1,12,47,3,0,0,1182.2,0.0,1,0,0,0
487,0,11,56,5,1,1,485.4906,0.0,1,0,0,0
405,0,12,54,6,1,0,487.0,0.0,1,1,0,0
294,0,6,27,1,0,1,446.0,0.0,1,0,0,0
1119,0,12,59,0,0,0,395.3333333333333,0.0,1,0,0,1
515,0,5,41,5,1,1,576.25,1.0,1,0,1,0
339,0,12,52,4,0,0,564.0,1.0,1,1,0,0
1038,1,7,11,1,0,1,534.4,1.0,1,0,0,0
1012,0,7,59,5,1,1,485.4906,2.0,1,1,0,0
473,0,7,32,6,1,1,1012.0,1.0,1,0,0,0
188,0,6,41,5,1,1,742.5,1.0,1,0,0,0
148,0,7,4,1,0,1,557.6666666666666,1.0,1,0,1,0
176,0,12,54,2,0,0,455.25,1.0,1,0,0,0
109,0,13,14,0,0,0,399.4,1.0,1,0,0,1
104,0,13,24,3,0,0,218.8,1.0,1,0,0,0
413,0,7,9,3,0,1,145.0,1.0,1,1,0,0
111,1,12,36,6,1,0,190.0,1.0,1,0,0,0
419,0,12,43,4,0,0,485.4906,1.0,1,0,0,0
127,0,12,23,6,1,0,419.0,0.0,0,0,0,0
92,0,6,11,4,0,1,273.0,0.0,1,1,0,0
103,0,6,53,3,0,1,212.66666666666666,0.0,1,0,1,0
506,0,13,6,3,0,0,185.25,0.0,1,1,0,0
447,0,7,47,5,1,1,249.4,0.0,1,0,0,0
84,1,12,55,6,1,0,255.0,0.0,1,0,1,0
378,0,12,3,6,1,0,485.4906,0.0,1,0,0,0
142,0,6,28,4,0,1,378.0,0.0,1,1,0,0
529,0,7,25,1,0,1,260.0,0.0,1,1,0,0
325,0,12,19,0,0,0,349.6666666666667,0.0,1,0,0,0
302,0,6,36,2,0,1,343.5,0.0,1,1,0,0
450,0,6,51,3,0,1,335.2,0.0,1,1,0,0
486,0,13,38,4,0,0,349.6,0.0,1,1,0,0
109,1,12,56,6,1,0,418.4,0.0,1,1,0,0
315,0,6,43,5,1,1,485.4906,0.0,1,0,0,0
383,0,6,24,0,0,1,315.0,0.0,1,0,0,1
431,0,6,58,4,0,1,349.0,0.0,1,1,0,0
1121,0,6,21,5,1,1,376.3333333333333,0.0,1,1,0,0
196,0,7,9,2,0,1,562.5,1.0,1,0,0,1
274,0,7,6,6,1,1,489.2,1.0,1,0,1,0
301,0,12,52,6,1,0,481.0,1.0,1,1,0,0
505,0,7,0,0,0,1,464.6,1.0,1,1,0,0
345,0,12,35,6,1,0,479.4,1.0,0,1,0,0
83,1,6,33,1,0,1,324.2,1.0,1,0,0,0
199,0,6,59,1,0,1,485.4906,1.0,1,0,0,0
127,0,7,20,0,0,1,199.0,0.0,1,0,0,1
159,1,6,46,2,0,1,163.0,0.0,1,0,0,1
2040,1,6,9,1,0,1,161.66666666666666,0.0,1,0,0,0
517,0,6,13,6,1,1,485.4906,0.0,1,0,0,0
67,0,6,52,5,1,1,517.0,0.0,1,0,0,0
400,0,12,32,4,0,0,292.0,0.0,1,1,0,0
494,0,13,36,5,1,0,328.0,0.0,1,0,0,1
125,0,13,48,4,0,0,369.5,0.0,1,1,0,0
368,0,7,12,0,0,1,320.6,0.0,1,0,1,0
77,1,6,45,3,0,1,290.8,0.0,1,1,0,0
137,0,7,35,2,0,1,485.4906,0.0,1,0,0,0
257,0,6,56,0,0,1,137.0,0.0,1,0,0,0
109,0,7,35,5,1,1,197.0,0.0,1,0,0,0
328,0,6,59,2,0,1,167.66666666666666,0.0,1,1,0,0
478,0,12,13,6,1,0,207.75,0.0,1,0,1,0
83,0,6,57,6,1,1,261.8,0.0,1,0,0,0
364,0,6,29,4,0,1,251.0,0.0,1,0,1,0
444,1,7,8,6,1,1,272.4,0.0,1,0,1,0
82,1,12,28,0,0,0,339.4,0.0,1,0,1,0
249,0,7,13,4,0,1,485.4906,0.0,1,1,0,0
500,0,6,46,0,0,1,249.0,0.0,1,1,0,0
202,0,7,0,1,0,1,374.5,0.0,1,1,0,0
400,0,7,45,2,0,1,317.0,0.0,1,1,0,0
333,0,6,36,3,0,1,337.75,0.0,1,1,0,0
106,0,7,13,2,0,1,336.8,0.0,1,0,0,1
488,0,7,0,0,0,1,485.4906,0.0,1,1,0,0
311,0,12,31,6,1,0,488.0,0.0,1,0,0,0
