student_id,vehicle_type,entry_time,exit_time,day_of_week,duration_minutes,usual_zone,is_exam_week,parking_behavior
SV1127,Motorbike,2023-09-15 12:11:00,2023-09-15 16:57:47,Friday,286,Zone_C,0,Full_Day
SV1124,Motorbike,2023-09-03 07:09:00,2023-09-03 10:34:29,Sunday,205,Zone_A,0,Early_Return
SV1216,Motorbike,2023-10-03 05:41:00,2023-10-04 19:39:44,Tuesday,2278,Zone_A,0,Long_Term
SV1500,Motorbike,2023-09-15 07:28:00,2023-09-17 21:09:18,Friday,3701,Zone_B,0,Long_Term
SV0832,Motorbike,2023-12-10 06:41:00,2023-12-10 11:10:18,Sunday,269,Zone_B,0,Full_Day
SV1479,Motorbike,2023-09-08 07:28:00,2023-09-08 16:00:47,Friday,512,Zone_B,0,Full_Day
SV1026,Motorbike,2023-10-24 07:06:00,2023-10-24 15:42:33,Tuesday,516,Zone_A,0,Full_Day
SV1017,Motorbike,2023-11-24 07:26:00,2023-11-25 20:27:29,Friday,2221,Zone_A,0,Long_Term
SV0764,Motorbike,2023-12-18 07:17:00,2023-12-18 14:55:42,Monday,458,Zone_A,1,Full_Day
SV0231,Motorbike,2023-09-28 13:11:00,2023-09-28 20:17:59,Thursday,426,Zone_A,0,Full_Day
SV0407,Motorbike,2023-10-07 13:10:00,2023-10-07 19:31:39,Saturday,381,Zone_C,0,Full_Day
SV1793,Motorbike,2023-12-28 12:53:00,2023-12-28 19:21:08,Thursday,388,Zone_B,1,Full_Day
SV1578,Motorbike,2023-10-21 06:17:00,2023-10-21 12:49:34,Saturday,392,Zone_A,0,Full_Day
SV0749,Motorbike,2023-09-29 07:31:00,2023-09-29 11:54:05,Friday,263,Zone_A,0,Full_Day
SV0578,Motorbike,2023-11-01 07:07:00,2023-11-01 12:02:58,Wednesday,295,Zone_B,0,Full_Day
SV1530,Motorbike,2023-11-28 07:09:00,2023-11-28 08:25:30,Tuesday,76,Zone_B,0,Early_Return
SV0628,Motorbike,2023-09-03 05:40:00,2023-09-03 10:46:37,Sunday,306,Zone_A,0,Full_Day
SV1999,Motorbike,2023-10-02 07:10:00,2023-10-02 09:55:27,Monday,165,Zone_D,0,Early_Return
SV0564,Motorbike,2023-10-09 06:27:00,2023-10-09 07:32:31,Monday,65,Zone_B,0,Early_Return
SV1590,Motorbike,2023-12-05 12:15:00,2023-12-05 13:50:56,Tuesday,95,Zone_B,0,Early_Return
SV1696,Motorbike,2023-12-28 12:21:00,2023-12-28 19:59:27,Thursday,458,Zone_B,1,Full_Day
SV0198,Motorbike,2023-12-21 13:08:00,2023-12-21 17:53:12,Thursday,285,Zone_B,1,Full_Day
SV1795,Motorbike,2023-10-29 07:26:00,2023-10-29 13:10:35,Sunday,344,Zone_D,0,Full_Day
SV1960,Motorbike,2023-11-21 13:03:00,2023-11-21 20:25:42,Tuesday,442,Zone_A,0,Full_Day
SV1439,Motorbike,2023-12-08 06:08:00,2023-12-09 06:05:18,Friday,1437,Zone_B,0,Overnight
SV1184,Motorbike,2023-09-09 07:03:00,2023-09-09 14:33:06,Saturday,450,Zone_C,0,Full_Day
SV0054,Motorbike,2023-09-24 13:10:00,2023-09-24 19:01:41,Sunday,351,Zone_D,0,Full_Day
SV0914,Car,2023-11-21 07:53:00,2023-11-21 10:00:15,Tuesday,127,Zone_A,0,Early_Return
SV1604,Motorbike,2023-09-21 07:40:00,2023-09-21 10:28:08,Thursday,168,Zone_B,0,Early_Return
SV0955,Motorbike,2023-12-28 06:37:00,2023-12-28 13:33:57,Thursday,416,Zone_B,1,Full_Day
SV1800,Motorbike,2023-12-07 07:40:00,2023-12-07 15:59:15,Thursday,499,Zone_B,0,Full_Day
SV1540,Motorbike,2023-10-19 07:35:00,2023-10-19 11:04:10,Thursday,209,Zone_A,0,Early_Return
SV0518,Car,2023-12-14 13:03:00,2023-12-14 19:54:41,Thursday,411,Zone_A,1,Full_Day
SV0253,Motorbike,2023-11-26 06:01:00,2023-11-26 12:26:35,Sunday,385,Zone_A,0,Full_Day
SV0566,Motorbike,2023-12-13 07:19:00,2023-12-13 13:06:35,Wednesday,347,Zone_A,1,Full_Day
SV0785,Motorbike,2023-09-09 12:12:00,2023-09-09 17:59:50,Saturday,347,Zone_C,0,Full_Day
SV1891,Motorbike,2023-09-24 13:00:00,2023-09-24 15:59:44,Sunday,179,Zone_C,0,Early_Return
SV0400,Motorbike,2023-12-24 08:55:00,2023-12-24 10:51:20,Sunday,116,Zone_B,1,Early_Return
SV0854,Motorbike,2023-10-28 07:20:00,2023-10-28 08:24:34,Saturday,64,Zone_C,0,Early_Return
SV1078,Motorbike,2023-12-10 06:11:00,2023-12-10 14:01:59,Sunday,470,Zone_B,0,Full_Day
